sentence,label
一天发5至6只股票的时候为什么不说要注重投资？ ,0
不传谣，不信谣  ,1
做空不是合法合规吗？严打什么？ ,1
我认为平安银行10年～20年后每股净资产能达到70元左右，目前每年每股净资产增加非常多。 ,1
200万加杠杆抄底平安银行，最后被强制平仓，仅剩下5000元  ,0
000001跟谁啊，天天织布  ,0
提前祝大家新年快乐，龙年好运  ,1
老胡去年60万抄股，亏8万多，现在只亏不到5万，回血3万多。,1
#辞兔迎龙，新年长红！#祝平安众多投资者和过去一年支持我、信任我、帮助我度过艰难  ,1
银行，大盘，中盘，小盘，微盘上涨统统没有你的份[捂脸]  ,0
节前从龙虎榜上看到，中金上海分公司怎么做空多家公司啊？不可思议！ ,0
是真的想骂人  ,0
做好股，就是有套住也能出来的底气。强如深发展，也会有这样的阴跌。也遵循同样规律  ,1
9.6买进小行情看11块，中级看15，梢大些行情看到20上  ,1
平行底部均线调整完毕，随时起飞  ,1
平安银行北方长龙祝所有老铁新的一年旗开得胜龙行大运！ ,1
就等着银行发券商牌照吧，研究十多年了，差不多了，大金融概念  ,1
平安银行在这轮银行股的反弹中真是，涨幅最小，后续是否有补涨的机会？可能麻烦的是节后。 ,0
平安银行今天跑赢银行指数。我坚信，今年平安银行分红6毛以上  ,1
平安银行节后不涨就减仓了，加仓打破国外垄断小盘高科技股，10倍空间！ ,1
散户的心声：加快新股发行节奏提高网上申购中签率  ,1
跌我们左右不了涨跌了，但我认定平安是福！ ,1
2007年平安银行都比现在的价位高，是公司的原因，还是市场的原因？ ,0
祖国新年好！中华繁荣富强盛！百业兴旺冠全球！百年牛市今启航！国强民富攀高峰！ ,1
上13是没问题吧，今年过年吃这了  ,1
18的本给个机会  ,1
明天来吧  ,1
前段时间基金在做空  ,0
其实北向卖完最好  ,1
平安银行用心良苦啊，看隔壁宁波银行就知道了，预报出来就大跌。,0
浪费时间，浪费情感，浪费行情，三浪  ,0
底部放量机会来了[偷笑]  ,1
认清自己的韭菜定位，珍惜自己的血汗钱吧， ,0
A股估值底是否已到关键看H股是否大反转  ,0
祝愿大家2024年，满仓涨停，步步高升，平安是福！ ,1
新年快乐，远离疾疫，健康平安，涨跌我们左右不了，我们只是跟随者，别太给自己添堵  ,1
平安证券出问题了  ,0
期盼2024年大牛狂奔  ,1
这几天账户抖跑不赢最低的拿个大盘[滴汗]  ,0
平安银行：涨到20,1
SB，真恶心  ,0
去绩优小盘一一一富临运业002357（春运题材）捡尸了！！！[色][得意]  ,1
自从买了这么个玩意儿，就在盼回本的路上越走越远  ,0
大盘和板块上涨时你不涨，有种你在大盘和板块回调时也别跟跌。,0
抄底的快  ,1
银行板块普通大涨15-30%！（6大行年度大涨超过30%）只有平安银行还在谷底下  ,0
加油！换头了必反转！ ,1
现在中小板上蹿下跳，只有银行拿着踏实！毕竟只有几倍市盈率还能怎么跌  ,1
和去年一毛一样的套路哈哈，不过确实很管用你们冲吧  ,0
众多公司近日都提“提质增效重回报”。请问公司有这方面行动吗？ ,0
现在行情是跷跷板效应，只有中小创业板不好时银行才会好  ,0
0.6亿资金炒房团进驻深发展，9.59元1股成交  ,1
赚一点手续费走了。压力给到在场的给位。目前不用东方财富了。这个app可以当天卖完  ,0
全是对手盘  ,0
北交唯一一只严重破发次新股870656，值得大家关注，反弹快！ ,1
这段时间的经历，就像吃了坨尸米。 ,0
这个不错但要长到12挺困难  ,0
好消息也跌  ,0
这些转融通做空资金好好考虑怎么还券吧，利息够你喝一壶的，就一直这样横着  ,1
春节前还有希望上涨吗？ ,0
平银上不了10元了吗？ ,0
看看其他小市值银行连续大涨几天，中大银行已经上涨通道起飞正常调整，等待下一步起飞  ,1
没准还要收绿，外资不会考虑你过春节的情绪！ ,0
量化基金退出我进场，9.66卖出，9.55买回[俏皮]  ,1
海量的非流通股和限制流通股通过融券转化为流通股是万恶之源，谁在保护突破底线的做空  ,0
大盘2850，平安还在2700  ,0
还在地平线，什么时候起来一点？ ,0
先立后破，立银行，破中小  ,0
天网恢恢疏而不漏，你们这样恶意打压股价的行为总会被查的。大盘和板块上涨时你们不涨  ,0
未分配利润2100亿？ ,0
这到底是个什么东西？大的涨你不涨，小的涨你也不涨？ ,0
最后一天拉吸引XX冲进来，节后通杀，和去年剧本一样，不得不说还挺有用  ,0
近期市场整体下行，公司经营情况如何？是否考虑回购股份提振投资者信心？ ,0
董秘你好，请问公司是央企国企的企业吗？ ,0
每天都来打卡祝福董秘，直到股价回到14元。 ,0
好碎，最后一点给回你算了  ,0
银行涨时候不跟，跌时候跟，那个板块跌跟那个，你是银行，还是保险？天天砸盘做空  ,0
打压是不可能持续的  ,1
指数尾盘收绿可能性很大，早盘这个冲法不可持续。,0
人家补跌是前期人家涨多了，你前期也涨多了吗？ ,0
平安的营业额从三季度就开始下跌了，而宁波是每个季度都在增长。,0
这股在银行股中股息是最低的了吧！看看招商兴业，简直没法看啊[哭]  ,0
年前上11  ,1
上涨什么概念都轮不到！ ,0
深圳超级行情要来了  ,1
钱渐多做钱生意规模渐大！人减少做人生意规模渐少！ ,1
平安银行已经很不错了至少没绿哈哈  ,1
大盘上3000点，你还是9元多，对吗亲  ,0
这种无聊，无耻，无德之徒根本没有资格存于市场。小心举报你恶意打压股价。 ,0
今天可以了，没怎么跌  ,1
一买就跌，真拉级  ,0
做空第一名，还在疯狂做空  ,0
今天能发个红包过年吗？2万股  ,0
深圳超级利好房地产政策也极大利好平安银行  ,1
立帖为证，我敢打赌，平安银行今年分红大于等于0.60元。 ,1
深圳房地产今天晚上公布彻底放开限购！极大利好房地产及银行板块！ ,1
说你是银行银行你不涨，说你是保险，保险涨，你不涨  ,0
平安银行融券票太多太多不要买  ,0
下午冲5个点[呲牙]  ,1
我每次买都下跌上午一直6362懒得麻烦直接63补了你就变59了昨天买也是  ,0
银行也是能有这样的波动的。弱转强又转弱就必须跑，不能犹豫  ,0
割个肉给你助助兴，就趴着吧  ,0
奶奶的，银行股升你不跟，跌就跟  ,0
哎，废了  ,0
真让人绝望压抑  ,0
新年好，垃圾股  ,0
请接受我对你的称呼：新年好，垃圾  ,0
这玩意简直无可救药！ ,0
真垃圾完美避过这波反弹，转买ETF  ,0
跑不赢券商跑不赢保险跑不赢四大行要你何用  ,0
万科90度涨停就说明问题了  ,1
加油啊你也不属于微盘股吧  ,1
怎么回事？所有银行都涨，就平安银行不涨？？？？？  ,0
跟跌不跟涨倒数第一银行，弱股  ,0
看看你爹中国平安怎么涨的  ,0
谁信谁倒霉  ,0
平安银行02月07日被深股通减持1181.36万股  ,0
抄底的快。干就完了。 ,1
平安银行：融资净买入1796.64万元，融资余额48.5亿元（02-07） ,1
曾经多少人爱慕的平安银行，现在能买入吗？PE真的很低啊  ,1
希望今天突破下降趋势线[拜神][拜神][拜神]  ,1
开户马上6年了，也就收获这么点，利息都不够，还跑赢指数很多，唉指数这么多年原地踏步。,0
一定要在平安银行赚到钱  ,1
祝股友们新年快乐股市长红  ,1
各路基金一直在做空。 ,0
重视公司基本面的前瞻性研究是确保收益的重要前提（之四）,1
昨天国债逆回购一万是多少钱，今天的好几块，昨天忘记了，知道的告诉我一声，让我后悔  ,1
今天出了小盘，全仓了你。以后就靠你了  ,1
停止转融通是等于停止融券作空吗？ ,1
有银子了、利好也来了！明天来根大阳可以吧？ ,1
银行指数都上涨通道了，你还在横盘睡觉[赞]，到底是不是银行股还是保险股？也不像啊  ,0
明天会涨停吗？[呲牙]  ,1
会和15年那样银行挺住第一波下跌，然后行抢小盘，银行补跌吗？我觉得不大可能， ,0
基金做空  ,0
这个支持，如果不赚钱还能收管理费！！那些基金管理者就故意去接盘，他们每年还有管理费。,0
看看宁波银行的业绩公告，全面营收正增长，你下降了这么多  ,0
不得不说  ,0
我的股票二天二个跌停板。 ,0
分红少了点，还不是为了发展壮大。不在大a融资圈钱，发债多好，可惜被空头暴打。 ,0
新年好！迎春接福！百年牛市今启航！享受祖国改革开放的丰硕成果！ ,1
今天起60天线上翘，上涨趋势明显。 ,1
平安银行到现在也不肯出来说话，最抠门的银行，分红是银行板块中垫底的。 ,0
不舍得分红，垃圾  ,0
感觉回本无望，11.26的本  ,0
上周9.49元进的货5.6万股，昨天9.67卖了，继续保留5万股底仓。  ,1
涨了涨了，分红率涨到3%了，在涨到5%就是优质资产了[微笑][微笑]  ,1
昨天上证涨3.23%，深证涨6.22%，，创业涨6.71%，，科创涨6.5%，，  ,1
深证涨了3个点，板块也涨了，这货怎么还跌了  ,0
大盘股上时你小盘股，小股补涨时你大盘股！  ,0
明天10元  ,1
深证指数反弹力度比上证大猜对了，这货不跟没猜对[滴汗]  ,0
0000001跟谁啊？？？？  ,0
的确牛，年头跌到年尾  ,0
深证要是指数10000点，这货说不定还在九块  ,0
宁波银行主力格局杠杠的[赞]，不像平安银行天天做空砸盘  ,0
真正的大空头就藏在平安银行，中兴通讯等的背后做空势力  ,0
平安银行太牛了！ ,1
大盘涨，个股还是一片绿啊  ,0
平安银行每股净资产20.4元+拨备5.,1
平安银行跌幅位居银行板块第一！目前银行板块已大涨15-25%！平安银行远不及此！ ,0
上周9.49元进的货5.6万股，昨天9.67卖了，继续保留5万股底仓。 ,1
平安银行值得拥有！市值1800亿净资产4600亿每股净资产20公积金4未分配利润  ,1
没有诚意  ,0
做空大本营  ,0
放的什么大招？又上新股了，骗人  ,0
要先做空，再做多  ,0
融券一天减少所有的银行都打开上行通道了，唯独这个  ,0
真垃圾王  ,0
平安银行融券票最多应严查  ,0
看看你爹招商银行指数拉升瞬间就直线拉升翻红，还有看看你爹中国平安已经涨了百分之一  ,0
平安银行做空比做多容易  ,0
小平安，羞羞脸[摊手]  ,0
拖银行后腿！  ,0
这货不是保险板块的吗？今天怎么不跟中国平安了，想哭  ,0
看看人家宁波银行跌3个点多还能弹起来小跌百分之一左右，你平安银行跌下去了就起不来  ,0
四大行有的创新高了，招商银行离开底部，宁波银行离开底部，兴业银行离开底部，邮储银  ,0
别个也是跌2个点，一下翻红，你是怎么的哪  ,0
看起来像很难的那种  ,0
给你机会也不中用啊  ,0
笑死人了  ,0
平安银行年度跌幅第一！希望3.15业绩增长不让股民失望，希望现金分红提升到30%  ,1
董秘不是嘴不贱吗？  ,0
为什么是最差！所有银行比它好  ,0
深指跌它跌，深指涨它依旧跌  ,0
做好准备，马上到9.40  ,1
营业收入过千亿，毛利率60-70%  ,1
马先生68，谢先生56？  ,0
都这样了还能补跌！  ,0
在买1买进几千股厦工股份结果全部是几十个100股！厦门厦工庄这是候还敢做量化卖空  ,0
板块又红了大盘又疯涨！你还好意思跌1%  ,0
在买1买进几千股厦工股份结果全部是几十个100股！厦门厦工庄这是候还敢做量化卖空  ,0
m周线刚金叉！加仓干就完了！！ ,1
垃圾垃圾垃圾垃圾垃圾  ,0
周线m刚金叉！！加仓干就完了  ,1
招商银行，工商银行等高管都入局了  ,1
银行股上涨时你叫平安，银行股下跌时你叫银行。懂得自然懂。  ,0
板块快红了  ,0
这个时候就拉银行和券商  ,0
我都说了指数都涨不赢，银行板块指数也涨不赢个股更涨不赢， ,0
你爹招商银行都快翻红了，弱股银行还在砸盘 ,0
倒数第一弱股  ,0
平银总是跌得快涨得慢  ,0
就一忽悠人的东西，做多做空全是它们  ,0
重蹈覆辙元旦前行情吗？如果春节前大涨不回落，减仓吧！毕竟春节天数更长，不确定因素  ,0
目测今天到9.60，明天到9.80  ,1
你能不能做一个人  ,0
银行股成了平衡市工具，支点偏向小盘股  ,0
没人管了  ,0
史上最差的  ,0
10元以下，不断放量扎实历史底部！,1
银行都涨他不一定涨，银行都跌他肯定跌，大盘企稳反而后市堪忧  ,0
哈哈，个别估值低了而已！！！！ ,1
辛亏早上跑了[坏笑]  ,0
平安银行回踩5日线20日线继续上车月底底部，周线底部企稳开始上升趋势  ,1
平安银行今天表现不错比我预想的要好  ,1
今天分四批清仓了平安银行，9.48-9.63共56000股，11.8的本，以后不  ,0
垃圾货色，白瞎这两天的行情  ,0
按照平安银行这种连续大跌3年来说已经是不正常了，远远超过所有银行跌幅，严重被转融  ,0
基金做空谁的仓位低就是谁做空。你干打击吗  ,0
怀念以前的深发展，现在的平安就啥也不是。 ,1
近期国家一直在加强融资的管控力度，从现在的形势，融资再搞事估计都牢里见了，估计看  ,0
底部都还离不开的银行，买他就是浪费钱，说了一百万遍了买龙头招商银行，平安银行涨没  ,0
融资被这波杀怕了。业绩稳住，提高分红才能走强。还要再等等。 ,1
我和平安命运相克前几天9.119.30几乎清了看现在企稳9.639.619.58  ,0
已空仓，最后一天没有上车机会那就这样了  ,0
银行股昨天已经滞涨了，今天直接开跌。也没涨多少啊！ ,0
银行股成了重要做空力量  ,0
把搞出这些漏洞的人抓起来才是王道不是讲究任何事情都落实到人吗这么大漏洞伤害几亿股  ,0
这种倒数第一银行最弱银行，涨多少跌多少搞不懂你们买他干嘛，随便买一个银行都比他强  ,0
国家队抄底，光荣吗？  ,0
活该散户亏钱就要去买垃圾股  ,0
看了一张恒大银行贷款名单排行榜，前20竟然没平安银行？请问哪位大咖有这方面的信息  ,1
都抛了留钱过年，过年后再说！ ,0
最烂最垃圾的银行股票！哎！ ,0
涨没份，跌时候跟所有板块，银行不像银行，保险不像保险，剔除银行板块吧  ,0
不知道的还以为它前期是银行龙头！ ,0
又加早了  ,0
这玩意我寻思这波银行涨它也没涨啊，怎么刚开始补跌它就跟上了呢[微笑]  ,0
继续加油啊，让大家过个好年吧。。。 ,1
平安银行被转融通融券玩坏了，随便买一个银行都比他强一万倍，他只能做倒数第一  ,0
平安银行11+，不割肉，不清仓  ,0
银行涨的时候他不是银行，银行跌他就是银行了  ,0
平安银行说明转融通融券还非常多跟跌不跟涨，无线砸盘  ,0
珍惜14的，为啥不增持呢  ,0
我的平安啊，深板1哥起点带头作用吧  ,0
平安银行说明还有很多转融通于吉融券，天天砸盘，涨不跟跌时候跟所有指数板块  ,0
确实无语  ,0
平安不行，分红太差  ,0
作恶多端  ,0
珍惜14元的平安银行[哭][哭]  ,0
平安雄飞今安在？  ,0
垃圾股你都配不上。 ,0
现在浪费行情不涨，后续有得哭了！ ,0
底部在2600附近  ,1
要点脸吧平安银行  ,0
这股是被我拉黑名单了  ,0
平安银行02月06日获深股通增持1151.69万股  ,1
大盘和板块下跌时你是急先锋，现在上涨时就装死了  ,0
涨时候没份，跌时候跟着一起跌.看看中下小银行继续涨，最无语银行  ,0
大主力买哦，之前又没涨多少，今天跟板块了？ ,0
股份银行应该补涨！6大行估值已大涨近80%！但股份银行跌幅超过50%！太奇葩  ,0
水上金叉了，。加仓机会  ,1
变卖资产吗？如此行情大单不断输出  ,0
有没有节后要大跌的感觉  ,0
新增40万散户炒底平安银行，尼嘛  ,0
大盘涨到2800，平安跌回去2700  ,0
平安银行每股净资产20.4元+拨备5.,1
你和一条狗似的就要趴着吗？大盘涨成这样你纹丝不动。  ,0
2024年，平安银行如巴西铁开花，节节高升，香飘海内外。 ,1
跌了几年，开始月线级别上涨了。目标36。 ,1
大家成本都多少？？？让我笑一笑  ,0
欠大家一个涨停  ,0
银行成了出气筒  ,0
起来干活  ,0
平银行长要学招长前行长  ,0
最安全的标的。买买买重要的事情说三遍。 ,1
它属于深成指，一会儿至少涨1.5个点  ,1
相信未来  ,1
补涨行情开启，做T的小心飞了  ,1
那些买小盘股的今天好像收益了，但后面还会还回去  ,0
要求平安银行提高分红，降低薪酬，每年拿出500万元奖励幸运股东大奖中奖股东  ,1
银行涨的时候你跟大盘！银行跌的时候你跟银行！ ,0
赶紧过年吧，这能止跌[滴汗]  ,0
拉一点主力资金就跑，上涨空间有限，可能与传说中的分红不到位有关系  ,0
这行情买指数基金比个股涨的多啊  ,0
做空也要有资本  ,0
拉升之前先洗盘看谁耐不住寂寞  ,0
准备好重挫一下， ,0
又开始破坏了  ,0
今天跟中国银行了！ ,0
落后深指3个点，今天要补回来的  ,1
又开始吓人了  ,0
平安再不发力，银行这波就涨完了  ,0
融券的该买股还券了  ,0
平安银行：连续5日融资净偿还累计3.6亿元（02-06）  ,1
8.5左右企稳  ,1
主力资金和北向资金昨日流入  ,1
还亏3个点，一点都不慌  ,1
明天会图穷匕见吗？  ,0
明天至少5个点大家千万不要做T  ,1
9.73就是你的索命线，危机爆发谁也躲不过，5块见  ,0
新年来啦！生长在特区的一哥！年内带领深市创出历史新高！强国富民！为国争光！ ,0
早在干嘛？在摸鱼？ ,0
恒大清盘对平安影响几何？ ,0
这货是银行股中的另类。称之为最差银行股不过分吧？ ,0
拿什么相信你？ ,0
你涨不过深证就算了，连上证都比不上就过分了  ,0
深圳房地产已率先强劲复苏！极大利好平安银行！加油！希望回到14.87元！苦死俺了  ,1
怎么了？有什么利好？  ,0
总得给点过年的钱吧  ,0
有像我一样T飞的吗？ ,0
明天会图穷匕见吗？ ,0
今天拉的全是一二百亿的银行股，涨超3%的只有平安一家千亿以上银行，皆因之前平安跌  ,0
可惜了，鬼子还没出完  ,0
唉，还敢炒股吗？散户投资者亏损的这些钱谁来负责赔偿？ ,0
9.6卖的，等9.1接回来  ,0
明天还会下来的，别着急  ,1
大宗交易：机构账户卖出平安银行661.24万元（02-06） ,1
11.5的成本，2万多股，目前还亏15个点，有希望吗。 ,0
应该让中小散户和机构大户一样，拥有公平的做空工具，无论上涨还是下跌，都能获利  ,1
晚了，平时干什么去了  ,0
脑子不正， ,0
基金管理公司拿基民的股票转融资这合理吗为了赚点利息砸自己的盘可笑阿，有没有老鼠  ,0
连浦发不发年终奖今天都站上七块了，距离低点涨幅超过10个点，平安896到今天96  ,0
我想问问大家救市真的能救出牛市来吗，我没经历过牛市呀，老股民能不能说说，我个人觉  ,1
这个价位应该大部分的人都解套戓者小赚了吧？！小赚离场，销户不玩了！太吓人了！  ,0
按去年的分红大概百分之三左右，最差就当存定期了，好一点向上有1-2倍的空间。 ,1
呵呵！那是空头赚的不好意思了扔给你个甜枣吃。 ,0
2只股票涨4个点，勉强跑赢上证，平安今天涨的有点少啊  ,0
明天9.98上啊，跌了3年了都  ,0
五周上穿10周，周线级别反抽可能要来了  ,1
好事多磨，守得云开见月明  ,1
卖飞了，不过已经很满足了，还有一天，加油  ,1
平安银行上涨倒数第一，说明转融通融券还非常多，做空还在继续做空  ,0
宝总到了黄河路，深发展10.32日元1股  ,1
叫你们拿住平安银行，有多少人抗不住跑了，上14不是梦，到时候卖给董秘就行了  ,0
祝愿大家的钱早日都回来  ,1
明天突破9.88  ,1
见底了吗？跌怕了[哭]  ,0
什么时候银行拉  ,0
看看你爹招商银行，都已经不带你玩了，他上涨你不跟，指数都涨不赢，落后所有银行一大  ,0
这种lj银行砸盘容易，上涨磨磨唧唧要他干嘛直接解套就走  ,0
唉都跑不过上证，深指更不用想了  ,0
人家银行蓝筹涨随随便便3个点以上5个点以上，lj银行只能跟指数  ,0
果然是最差的银行，没有之一。最近跌幅最大，涨幅最小。 ,0
指数带着他上涨，涨不赢指数，以后买股一定要买龙头招商银行  ,0
赶紧的，春节前站上11，都成啥样了  ,0
指数都涨不赢，你们还要买他，要是我直接买龙头招商银行  ,0
指数都涨不赢，大涨不跟倒数第一，下跌跟一马当先砸盘做空冠军，就这样还脱离不了底部  ,0
指数涨80多点就涨这么点[赞][捂脸]  ,0
证监会：依法暂停新增证券公司转融券规模存量逐步了结大家都不卖，打爆空头！！！ ,0
严禁做空，银行股应该会不停上涨  ,0
平安银行如果涨停板反转行情才可以确定！必须超越上周9.88的高位才可以重新焕发生  ,1
最差银行  ,0
才启动的补涨行情  ,0
平安银行是典型的被恶意做空第一银行股！做空让股价从25元一路下跌到10元不到！ ,0
确实不行  ,0
拉几个涨停看看  ,0
千万不要卖力争4个点  ,0
什么叫越陷越深  ,0
下午狂拉权重了，A50起飞  ,1
111111111,1
每股净资产20.4元+拨备5.,1
美股式上涨，美股指数都是部分成分股，类似A50，沪深300，中证500这类，道琼  ,1
四大行有的创新高了，招商银行离开底部，宁波银行离开底部，兴业银行离开底部，邮储银  ,1
等其他银行调整完又开始三浪上涨，你还在横盘睡觉？  ,0
等其他银行调整完都又开始上涨了，等你涨百分之十他们都涨上天了，银行股不像银行，保  ,0
人要长记性，越陷越深  ,0
早上没加仓，9.42卖了。做t失败。明天再进 ,1
你说他业绩好，他就是不分红，你说他是银行股，可她不跟银行走，你说他是保险股，他说  ,0
落后银行指数，板块个股一大截，连补涨机会都没有  ,0
其他银行动不动就涨几个点，你是涨没超过两个点的，都离开底部了，你还在横盘 ,0
农行等银行股都创历史新高了，平安银行你呢？一点也不平安。  ,0
怎么就涨一个点就不能，涨几个点吗？，四大行都新高了  ,0
10个点的反弹都不到！差评  ,0
平安银行大概率在构建底部区域，这个底部区域正在完成之中，是第三个月的巩固底部区域  ,0
带带大哥601318  ,1
谁能说一下，工农交建中在历史高位或已创历史新高，其它城商行却跌的一摊糊涂？有什么  ,0
拉几，就不能好好的拉45个点吗。  ,0
是不是被雪球压制了  ,0
市场还是需要这样的正面示范效应的  ,1
12.64日元1股 清仓9.48进场  ,1
宝总到了夜东京，深发展9.48日元1股  ,1
坚决拥护[献花]依法严厉查处证券违法犯罪案件，坚持“严”的主基调，依法从严、全链  ,1
开盘迅速拉高，让散户追涨，下套成功！ ,1
稳定沪指还得是银行券商  ,1
平安银行必须明显放量才转势[哭][哭][哭]一般散户不敢买的时候挂单也会明显少你  ,0
垃圾又开始了大盘大涨你纹丝不动  ,0
平安银行该涨了，基本面变化不大。跌的有多凶，涨的有多猛，睡的有多长，涨的有多高  ,0
欠太多人两个跌停，中小盘别搞ss了  ,0
只有平安银行股价还处于10年来大底部！从2021年6月30日前后25.6一路下跌  ,0
主力资金卷土重来！大量收购廉价筹码！保持淡定！  ,1
沦落到和渣渣一起混了  ,0
何时干正事呢  ,0
它还是相当倒数，落后大盘下一步就是落后板块，收盘落后板块1个点，表现不好落后两个  ,0
千万忍住别卖  ,0
想不发财都难！ ,1
只要有跌的他都跟  ,0
清仓了，1000股赚6块  ,0
深证涨这么多都带不动它[怒]  ,0
脱离底部需要连续几天大涨才可以形成上涨心态！最少需要一次涨停板！  ,0
南京银行、江苏银行都大涨20%！只有平安银行还在谷底  ,0
能不能拿稳来，别卖？？？？ ,0
说说而已  ,0
融资盘爆仓  ,0
别做梦了没有一点作用[怒]  ,0
巴菲特赢麻了！三菱商事股价大涨当地时间周三，巴菲特注资的日本五大商社之一——三菱 ,1
怎么不跌停 ,0
每天倒数啊  ,0
很好，又是低开高走  ,0
平安银行02月05日获深股通增持1204.57万股  ,1
平安银行:融资净偿还1.98亿元，创近一年新高（02-05） ,1
重视公司基本面的前瞻性研究是确保收益的重要前提（之二）（以海尔智家、联影医疗、平安银行、长春高新、吉祥航空等标的为例） ,1
重视公司基本面的前瞻性研究是确保收益的重要前提（之一）（以平安银行、广汇汽车、海尔智家、联影医疗、长春高新、吉祥航空等标的为例）） ,1
只能慢慢T了，银行补跌是大概率，不敢加仓  ,0
买银行，有分红，就像存定期，不要去操作，持有越久，收益越大，因为散户根本看不到主  ,0
别吹了，不见继续跌吗？？？？？  ,0
昨天立春，外资开始回流，但愿龙年扬眉吐气，一扫三年来颓废之气，重振往日之雄风！ ,1
老胡加油 ,1
平安银行我来了  ,1
我为啥不喜欢分红高的银行股？  ,0
上涨放量，下跌缩量，近期平安银行底部走得还算稳健。当然和招商兴业是比不了的，人家  ,0
平安银行究竟是没有粉饰业绩？究竟有没有干见不得人的事？看看四大行，再看看招兴平宁  ,0
5000多家绿，1000多家跌停，平安银行居然还能是红的，不幸中的万幸。  ,1
一不小心又半仓了  ,0
2834点是沪指最重要的点位，不能破掉，一旦被击穿就像洪水猛兽一泻千里，那就是考  ,1
感同身受？你们试试来炒股看看！这才叫感同身受！  ,0
今天表现不错  ,1
A股市场不公平规则实在太多，机构可以做空散户不能做空；限售股证券法规定不可流通，  ,0
问题不是这么看的：质押+转融+再转融+IPO+量化=到底是多少市值  ,1
好苦，上车就套几年  ,0
全是万手大单压着  ,0
今天不清仓，明天悔断肠。 ,0
真的搞不懂卖盘那么多  ,0
出这么多，可不能叫他涨  ,0
割在9.13  ,0
90季度线25年年线  ,1
他没涨到时候也要跟着补跌，不信到时候看看 ,0
一月18号一个深v，昨天一个深v；今天又是一个深v。底部？？？？  ,0
那个之前天天唱多，说春节前翻倍的s13呢？出来，wqn  ,0
我理解的市值管理是公司赚1块钱就是值1块钱，好的公司赚1块钱能值2块钱，而平安赚  ,0
难道股价*股本不等于市值么？难怪A股跌跌不休呢，原来上面有高水平的GLZ ,0
你觉得你有这个能力吗？不待见这种不自量力的人。 ,0
各位大佬，可以建仓了吗？ ,0
明天补跌5个点  ,0
今年流行不分红啊，分红就分毛毛雨  ,0
